# | Player | Nation | Position | OVR | PAC | SHO | PAS | DRI | DEF | PHY | League/Region | Status
1 | Luka Modrić | Croatia | CM | 75 | 74 | 72 | 96 | 94 | 72 | 62 | Spain | Icon/Active
244 | Andrés D'Alessandro | Argentina | CAM | 64 | 61 | 66 | 90 | 92 | 34 | 49 | Legacy | Icon
245 | Esteban Cambiasso | Argentina | CDM | 66 | 62 | 55 | 81 | 73 | 87 | 75 | Legacy | Icon
246 | Fernando Gago | Argentina | CDM | 64 | 55 | 44 | 87 | 77 | 62 | 54 | Legacy | Veteran
247 | Ever Banega | Argentina | CM | 65 | 48 | 55 | 92 | 82 | 56 | 48 | Legacy | Veteran
248 | Lucas Biglia | Argentina | CDM | 61 | 45 | 39 | 81 | 62 | 76 | 57 | Legacy | Veteran
249 | Maxi Rodríguez | Argentina | RM | 67 | 81 | 82 | 81 | 79 | 44 | 69 | Legacy | Icon
250 | Pablo Aimar | Argentina | CAM | 67 | 75 | 70 | 93 | 94 | 34 | 51 | Legacy | Icon
251 | Gheorghe Hagi | Romania | CAM | 72 | 79 | 89 | 91 | 94 | 44 | 61 | Legacy | Icon
252 | Hristo Stoichkov | Bulgaria | LM | 71 | 89 | 90 | 79 | 88 | 42 | 76 | Legacy | Icon
253 | Michael Laudrup | Denmark | CAM | 73 | 82 | 78 | 96 | 96 | 41 | 61 | Legacy | Icon
254 | Zvonimir Boban | Croatia | CAM | 69 | 70 | 76 | 91 | 91 | 48 | 60 | Legacy | Icon
255 | Dragan Stojković | Serbia | CAM | 68 | 75 | 77 | 90 | 94 | 36 | 54 | Legacy | Icon
256 | Dejan Savićević | Montenegro | CAM | 67 | 82 | 78 | 83 | 92 | 31 | 54 | Legacy | Icon
257 | Robert Prosinečki | Croatia | CAM | 66 | 60 | 69 | 91 | 89 | 34 | 51 | Legacy | Icon
258 | Gheorghe Popescu | Romania | CM | 67 | 63 | 56 | 79 | 69 | 86 | 80 | Legacy | Icon
259 | Pavel Nedvěd | Czech Republic | LM | 72 | 90 | 87 | 87 | 89 | 65 | 78 | Legacy | Icon
260 | Tomáš Rosický | Czech Republic | CM | 65 | 80 | 67 | 91 | 90 | 38 | 51 | Legacy | Icon
261 | Rui Costa | Portugal | CAM | 71 | 71 | 75 | 95 | 94 | 43 | 57 | Legacy | Icon
262 | Deco | Portugal | CM | 71 | 67 | 73 | 94 | 92 | 52 | 57 | Legacy | Icon
263 | Maniche | Portugal | CM | 66 | 76 | 72 | 82 | 74 | 59 | 69 | Legacy | Icon
264 | Tiago Mendes | Portugal | CM | 64 | 61 | 57 | 81 | 69 | 65 | 64 | Legacy | Veteran
265 | João Moutinho | Portugal | CM | 66 | 59 | 49 | 89 | 78 | 68 | 54 | Portugal | Veteran
266 | Renato Sanches | Portugal | CM | 64 | 82 | 52 | 73 | 76 | 57 | 72 | Portugal | Current
267 | Rúben Neves | Portugal | CDM | 70 | 54 | 62 | 94 | 78 | 76 | 71 | Saudi Pro League | Current
268 | João Mário | Portugal | CM | 64 | 68 | 56 | 84 | 81 | 42 | 55 | Turkey | Veteran
269 | Otávio | Portugal | CAM | 67 | 76 | 63 | 88 | 84 | 56 | Saudi Pro League | Current
270 | Vitinha | Portugal | CM | 73 | 78 | 68 | 95 | 94 | 57 | France | Current
271 | João Palhinha | Portugal | CDM | 68 | 54 | 44 | 67 | 57 | 93 | 89 | England | Current
272 | Matheus Nunes | Portugal | CM | 67 | 84 | 52 | 77 | 85 | 67 | 75 | England | Current
273 | Pedro Gonçalves | Portugal | CAM | 70 | 83 | 82 | 86 | 91 | 43 | 56 | Portugal | Current
274 | Bruno Fernandes | Portugal | CAM | 73 | 76 | 87 | 94 | 89 | 58 | 67 | England | Current
275 | Fábio Vieira | Portugal | CAM | 64 | 73 | 63 | 85 | 88 | 38 | 48 | England | Current
276 | Dani Ceballos | Spain | CM | 66 | 66 | 57 | 87 | 91 | 48 | 52 | Spain | Current
277 | Saúl Ñíguez | Spain | CM | 64 | 61 | 59 | 76 | 69 | 71 | 73 | Spain | Veteran
278 | Isco | Spain | CAM | 70 | 63 | 74 | 91 | 95 | 45 | 60 | Spain | Veteran
279 | Óscar Rodríguez | Spain | CAM | 62 | 62 | 66 | 79 | 77 | 34 | 50 | Spain | Current
280 | Rakitic | Croatia | CM | 68 | 59 | 68 | 91 | 82 | 66 | 63 | Legacy | Veteran
281 | Blaise Matuidi | France | CM | 66 | 78 | 55 | 72 | 71 | 88 | 78 | Legacy | Icon
282 | Paul Pogba | France | CM | 68 | 70 | 78 | 90 | 88 | 62 | 88 | Legacy | Icon
283 | Moussa Sissoko | France | CM | 62 | 81 | 49 | 63 | 64 | 70 | 87 | France | Veteran
284 | Tanguy Ndombele | France | CM | 64 | 70 | 45 | 75 | 81 | 47 | 71 | France | Current
285 | Adrien Rabiot | France | CM | 68 | 78 | 61 | 82 | 80 | 76 | 84 | France | Current
286 | Eduardo Camavinga | France | CM | 71 | 88 | 54 | 87 | 86 | 84 | 77 | Spain | Current
287 | Aurélien Tchouaméni | France | CDM | 71 | 78 | 52 | 86 | 72 | 90 | 86 | Spain | Current
288 | Youssouf Fofana | France | CM | 66 | 75 | 45 | 72 | 68 | 79 | 79 | Italy | Current
289 | Mattéo Guendouzi | France | CM | 66 | 67 | 46 | 78 | 68 | 74 | 77 | Italy | Current
290 | Corentin Tolisso | France | CM | 66 | 60 | 63 | 79 | 71 | 73 | 76 | France | Veteran
291 | Eduardo Camavinga | France | CDM | 71 | 88 | 54 | 87 | 86 | 84 | 77 | Spain | Current
292 | Warren Zaïre-Emery | France | CM | 68 | 77 | 66 | 87 | 88 | 71 | 73 | France | Current
293 | Désiré Doué | France | CAM | 70 | 90 | 76 | 83 | 92 | 39 | 61 | France | Current
294 | Rayan Cherki | France | CAM | 70 | 79 | 77 | 91 | 94 | 31 | 51 | England | Current
295 | Michael Olise | France | CAM | 72 | 82 | 82 | 91 | 93 | 42 | 61 | Germany | Current
296 | Florian Wirtz | Germany | CAM | 74 | 83 | 82 | 94 | 95 | 43 | 61 | England | Current
297 | Jamal Musiala | Germany | CAM | 73 | 88 | 82 | 91 | 96 | 40 | 57 | Germany | Current
298 | Leon Goretzka | Germany | CM | 68 | 73 | 72 | 79 | 77 | 78 | 88 | Germany | Veteran
299 | Julian Brandt | Germany | CAM | 68 | 75 | 74 | 89 | 88 | 37 | 56 | Germany | Current
300 | Mario Götze | Germany | CAM | 66 | 66 | 72 | 86 | 86 | 36 | 54 | Germany | Veteran
