# | Player | Nation | Position | OVR | PAC | SHO | PAS | DRI | DEF | PHY | League/Region | Status
1 | Paolo Maldini | Italy | LB | 75 | 86 | 45 | 89 | 86 | 99 | 78 | Legacy | Icon
251 | Dani Carvajal | Spain | RB | 73 | 81 | 39 | 83 | 76 | 94 | 82 | Spain | Current
252 | Lucas Vázquez | Spain | RB | 65 | 86 | 30 | 76 | 80 | 62 | 61 | Spain | Veteran
253 | Nacho Fernández | Spain | CB | 67 | 65 | 20 | 70 | 49 | 89 | 75 | Saudi Pro League | Veteran
254 | Diego Llorente | Spain | CB | 64 | 67 | 22 | 67 | 51 | 78 | 77 | Spain | Current
255 | Mario Hermoso | Spain | CB | 66 | 65 | 31 | 79 | 59 | 80 | 73 | Mexico | Current
256 | César Azpilicueta | Spain | CB | 68 | 69 | 28 | 78 | 66 | 91 | 74 | Spain | Veteran
257 | Sergio Reguilón | Spain | LB | 63 | 89 | 25 | 72 | 75 | 67 | 61 | England | Current
258 | Marcos Alonso | Spain | LB | 64 | 63 | 41 | 79 | 72 | 75 | 76 | Spain | Veteran
259 | Héctor Bellerín | Spain | RB | 63 | 91 | 23 | 67 | 75 | 68 | 58 | Spain | Veteran
260 | Marc Cucurella | Spain | LB | 70 | 84 | 30 | 78 | 80 | 82 | 69 | England | Current
261 | Mário Rui | Portugal | LB | 61 | 74 | 23 | 68 | 70 | 68 | 56 | Italy | Veteran
262 | Pepe | Portugal | CB | 72 | 71 | 30 | 66 | 51 | 96 | 92 | Legacy | Icon
263 | Rúben Semedo | Portugal | CB | 61 | 60 | 18 | 55 | 40 | 75 | 81 | Portugal | Veteran
264 | Domingos Duarte | Portugal | CB | 62 | 49 | 18 | 57 | 42 | 79 | 77 | Spain | Veteran
265 | Nélson Semedo | Portugal | RB | 68 | 93 | 25 | 69 | 77 | 75 | 69 | England | Current
266 | Diogo Dalot | Portugal | RB | 69 | 84 | 33 | 78 | 77 | 77 | 74 | England | Current
267 | Nuno Mendes | Portugal | LB | 73 | 96 | 34 | 79 | 86 | 84 | 77 | France | Current
268 | Raphaël Guerreiro | Portugal | LB | 69 | 82 | 48 | 90 | 89 | 67 | 56 | Germany | Veteran
269 | João Cancelo | Portugal | RB | 72 | 91 | 48 | 89 | 92 | 71 | 68 | Spain | Current
270 | Gonçalo Inácio | Portugal | CB | 70 | 72 | 26 | 86 | 62 | 85 | 72 | Portugal | Current
271 | Rúben Dias | Portugal | CB | 73 | 68 | 25 | 78 | 54 | 96 | 89 | England | Current
272 | António Silva | Portugal | CB | 71 | 76 | 21 | 78 | 57 | 89 | 76 | Portugal | Current
273 | Diogo Leite | Portugal | CB | 64 | 57 | 18 | 70 | 48 | 80 | 74 | Germany | Current
274 | Nelson Oliveira | Portugal | CB | 60 | 55 | 16 | 51 | 36 | 72 | 72 | Portugal | Veteran
275 | Mehdi Benatia | Morocco | CB | 68 | 67 | 33 | 65 | 48 | 92 | 91 | Legacy | Icon
276 | Achraf Hakimi | Morocco | RB | 74 | 99 | 42 | 88 | 94 | 76 | 81 | France | Current
277 | Noussair Mazraoui | Morocco | RB | 69 | 86 | 29 | 83 | 86 | 77 | 66 | England | Current
278 | Nayef Aguerd | Morocco | CB | 68 | 65 | 27 | 72 | 50 | 88 | 84 | Saudi Pro League | Current
279 | Romain Saïss | Morocco | CB | 65 | 48 | 35 | 62 | 42 | 87 | 85 | Saudi Pro League | Veteran
280 | Jawad El Yamiq | Morocco | CB | 61 | 50 | 25 | 54 | 38 | 76 | 82 | Spain | Veteran
281 | Kalidou Koulibaly | Senegal | CB | 70 | 70 | 25 | 71 | 49 | 93 | 94 | Saudi Pro League | Veteran
282 | Édouard Mendy | Senegal | CB | 60 | 49 | 17 | 51 | 38 | 72 | 76 | Saudi Pro League | Veteran
283 | Moussa Niakhaté | Senegal | CB | 66 | 68 | 18 | 62 | 45 | 82 | 86 | England | Current
284 | Fodé Ballo-Touré | Senegal | LB | 62 | 84 | 17 | 58 | 68 | 65 | 65 | Italy | Veteran
285 | Abdou Diallo | Senegal | CB | 63 | 65 | 24 | 65 | 50 | 79 | 73 | Qatar | Veteran
286 | Éric Bailly | Ivory Coast | CB | 62 | 66 | 21 | 56 | 43 | 79 | 85 | Spain | Veteran
287 | Serge Aurier | Ivory Coast | RB | 62 | 78 | 32 | 64 | 60 | 77 | 78 | Turkey | Veteran
288 | Willy Boly | Ivory Coast | CB | 61 | 49 | 19 | 56 | 38 | 79 | 88 | England | Veteran
289 | Evan Ndicka | Ivory Coast | CB | 69 | 76 | 18 | 76 | 53 | 88 | 85 | Italy | Current
290 | Wilfried Singo | Ivory Coast | RB | 67 | 88 | 28 | 67 | 70 | 78 | 87 | France | Current
291 | Ahmed Hegazi | Egypt | CB | 61 | 43 | 25 | 55 | 37 | 82 | 88 | Egypt | Veteran
292 | Mohamed Abdelmonem | Egypt | CB | 65 | 69 | 24 | 62 | 44 | 82 | 79 | France | Current
293 | Ali Maâloul | Tunisia | LB | 64 | 76 | 36 | 78 | 77 | 67 | 60 | Egypt | Veteran
294 | Yassine Meriah | Tunisia | CB | 60 | 47 | 20 | 54 | 39 | 76 | 75 | Tunisia | Veteran
295 | Wataru Endo | Japan | CB | 64 | 54 | 31 | 72 | 50 | 83 | 77 | England | Veteran
296 | Maya Yoshida | Japan | CB | 63 | 47 | 24 | 67 | 42 | 82 | 81 | USA | Veteran
297 | Takehiro Tomiyasu | Japan | CB | 70 | 82 | 22 | 75 | 58 | 91 | 78 | England | Current
298 | Hiroki Ito | Japan | CB | 68 | 81 | 18 | 75 | 59 | 84 | 76 | Germany | Current
299 | Kim Min-jae | South Korea | CB | 74 | 90 | 18 | 72 | 56 | 95 | 93 | Germany | Current
300 | Kim Young-gwon | South Korea | CB | 64 | 53 | 22 | 70 | 44 | 86 | 79 | South Korea | Veteran
