# | Player | Nation | Position | OVR | PAC | SHO | PAS | DRI | PHY | League/Region | Status
1 | Cristiano Ronaldo | Portugal | ST | 75 | 78 | 91 | 79 | 82 | 78 | Saudi Pro League | Icon/Active
262 | Wilfried Zaha | Ivory Coast | LW | 69 | 90 | 76 | 71 | 90 | 68 | MLS | Veteran
263 | Nicolas Pépé | Ivory Coast | RW | 65 | 82 | 73 | 68 | 82 | 52 | La Liga | Current
264 | Maxwel Cornet | Ivory Coast | LW | 64 | 84 | 65 | 61 | 75 | 60 | England | Veteran
265 | Ismaïla Sarr | Senegal | RW | 68 | 94 | 76 | 66 | 80 | 63 | Premier League | Current
266 | Moussa Diarra | Mali | ST | 61 | 78 | 61 | 47 | 57 | 66 | Africa | Current
267 | Victor Osimhen | Nigeria | ST | 74 | 96 | 93 | 66 | 80 | 88 | Turkey | Current
268 | Samuel Chukwueze | Nigeria | RW | 67 | 92 | 70 | 68 | 87 | 53 | Serie A | Current
269 | Kelechi Iheanacho | Nigeria | ST | 64 | 70 | 75 | 68 | 72 | 58 | Spain | Veteran
270 | Iliman Ndiaye | Senegal | CF | 68 | 86 | 76 | 75 | 88 | 54 | England | Current
271 | Amine Harit | Morocco | CAM | 65 | 77 | 65 | 82 | 86 | 49 | France | Current
272 | Youssef En-Nesyri | Morocco | ST | 69 | 82 | 83 | 58 | 69 | 80 | Turkey | Current
273 | Shoya Nakajima | Japan | LW | 62 | 81 | 61 | 70 | 82 | 45 | Japan | Veteran
274 | Keita Baldé | Senegal | LW | 63 | 86 | 68 | 60 | 78 | 57 | Spain | Veteran
275 | Moussa Dembélé | France | ST | 64 | 71 | 79 | 57 | 68 | 76 | China | Veteran
276 | Wu Lei | China | ST | 64 | 83 | 74 | 53 | 68 | 55 | China | Veteran
277 | Anderson Lopes | Brazil | ST | 65 | 80 | 78 | 54 | 66 | 70 | Japan | Current
278 | Yuki Soma | Japan | LW | 63 | 86 | 63 | 67 | 79 | 48 | Japan | Current
279 | Yuya Osako | Japan | ST | 64 | 67 | 75 | 68 | 72 | 69 | Japan | Veteran
280 | Shuto Machino | Japan | ST | 64 | 78 | 70 | 57 | 66 | 65 | Japan | Current
281 | Daichi Kamada | Japan | CAM | 69 | 72 | 75 | 88 | 85 | 58 | Premier League | Current
282 | Takumi Minamino | Japan | CF | 69 | 84 | 78 | 79 | 87 | 55 | Ligue 1 | Veteran
283 | Junya Ito | Japan | RW | 67 | 94 | 71 | 74 | 86 | 53 | Japan | Veteran
284 | Ayase Ueda | Japan | ST | 66 | 81 | 75 | 57 | 66 | 70 | Netherlands | Current
285 | Lee Kang-in | South Korea | RW | 72 | 83 | 77 | 92 | 94 | 54 | Ligue 1 | Current
286 | Hwang Hee-chan | South Korea | ST | 69 | 91 | 79 | 63 | 77 | 75 | Premier League | Current
287 | Cho Gue-sung | South Korea | ST | 64 | 72 | 77 | 52 | 62 | 78 | Denmark | Current
288 | Son Jun-ho | South Korea | CAM | 62 | 62 | 58 | 76 | 65 | 68 | South Korea | Veteran
289 | Omar Marmoush | Egypt | ST | 73 | 95 | 88 | 80 | 91 | 64 | Premier League | Current
290 | Mohammed Kudus | Ghana | CAM | 71 | 93 | 82 | 77 | 91 | 72 | Premier League | Current
291 | Thomas Partey | Ghana | CAM | 63 | 61 | 56 | 76 | 65 | 82 | Spain | Veteran
292 | Youssef Msakni | Tunisia | LW | 64 | 79 | 68 | 70 | 82 | 51 | Tunisia | Veteran
293 | Achraf Bencharki | Morocco | LW | 63 | 81 | 68 | 63 | 78 | 51 | Egypt | Current
294 | Percy Tau | South Africa | RW | 63 | 77 | 67 | 61 | 77 | 49 | South Africa | Current
295 | Aboubakar Kamara | France | ST | 61 | 74 | 66 | 48 | 59 | 69 | France | Current
296 | Sofiane Boufal | Morocco | LW | 65 | 82 | 69 | 77 | 89 | 48 | Belgium | Veteran
297 | Dodi Lukebakio | Belgium | RW | 68 | 91 | 77 | 65 | 82 | 65 | La Liga | Current
298 | Jonathan Ikoné | France | RW | 64 | 88 | 64 | 68 | 82 | 50 | Italy | Current
299 | M'Bala Nzola | Angola | ST | 64 | 77 | 73 | 52 | 62 | 78 | Italy | Current
300 | Anwar El Ghazi | Netherlands | RW | 62 | 77 | 66 | 59 | 75 | 57 | Netherlands | Veteran
